type,filter,year,prevision,simulacionpercentage,simulacion
pib,pf-1-idc-1-vdc-1,2023,1240814.2,0.2147,1243478
pib,pf-1-idc-1-vdc-1,2024,1270593.7,-0.2025,1268021
pib,pf-1-idc-1-vdc-1,2025,1293464.4,-0.1861,1291057
pib,pf-1-idc-1-vdc-1,2026,1315453.3,-0.1657,1313274
pib,pf-1-idc-1-vdc-2,2023,1240814.2,0.2622,1244068
pib,pf-1-idc-1-vdc-2,2024,1270593.7,0.127,1272207
pib,pf-1-idc-1-vdc-2,2025,1293464.4,0.0444,1294039
pib,pf-1-idc-1-vdc-2,2026,1315453.3,-0.0895,1314276
pib,pf-1-idc-2-vdc-1,2023,1240814.2,-0.1113,1239433
pib,pf-1-idc-2-vdc-1,2024,1270593.7,-0.4151,1265320
pib,pf-1-idc-2-vdc-1,2025,1293464.4,-0.2447,1290299
pib,pf-1-idc-2-vdc-1,2026,1315453.3,-0.0986,1314156
pib,pf-1-idc-2-vdc-2,2023,1240814.2,0.0274,1241154
pib,pf-1-idc-2-vdc-2,2024,1270593.7,-0.3819,1265741
pib,pf-1-idc-2-vdc-2,2025,1293464.4,-0.6018,1285680
pib,pf-1-idc-2-vdc-2,2026,1315453.3,-0.9815,1302542
pib,pf-1-idc-3-vdc-1,2023,1240814.2,0.2997,1244533
pib,pf-1-idc-3-vdc-1,2024,1270593.7,0.1356,1272317
pib,pf-1-idc-3-vdc-1,2025,1293464.4,-0.0518,1292794
pib,pf-1-idc-3-vdc-1,2026,1315453.3,-0.1817,1313063
pib,pf-1-idc-3-vdc-2,2023,1240814.2,0.4478,1246371
pib,pf-1-idc-3-vdc-2,2024,1270593.7,0.5142,1277127
pib,pf-1-idc-3-vdc-2,2025,1293464.4,0.5857,1301040
pib,pf-1-idc-3-vdc-2,2026,1315453.3,0.3568,1320147
pib,pf-1-idc-4-vdc-1,2023,1240814.2,0.0143,1240992
pib,pf-1-idc-4-vdc-1,2024,1270593.7,-0.3213,1266511
pib,pf-1-idc-4-vdc-1,2025,1293464.4,-0.5408,1286469
pib,pf-1-idc-4-vdc-1,2026,1315453.3,-0.7143,1306057
pib,pf-1-idc-4-vdc-2,2023,1240814.2,0.1292,1242417
pib,pf-1-idc-4-vdc-2,2024,1270593.7,-0.1506,1268680
pib,pf-1-idc-4-vdc-2,2025,1293464.4,-0.3516,1288917
pib,pf-1-idc-4-vdc-2,2026,1315453.3,-0.6382,1307058
pib,pf-2-idc-1-vdc-1,2023,1240814.2,-0.0566,1240112
pib,pf-2-idc-1-vdc-1,2024,1270593.7,-0.2739,1267114
pib,pf-2-idc-1-vdc-1,2025,1293464.4,-0.2477,1290261
pib,pf-2-idc-1-vdc-1,2026,1315453.3,-0.2218,1312536
pib,pf-2-idc-1-vdc-2,2023,1240814.2,-0.0088,1240705
pib,pf-2-idc-1-vdc-2,2024,1270593.7,0.0432,1271143
pib,pf-2-idc-1-vdc-2,2025,1293464.4,-0.0253,1293137
pib,pf-2-idc-1-vdc-2,2026,1315453.3,-0.1494,1313488
pib,pf-2-idc-2-vdc-1,2023,1240814.2,-0.359,1236360
pib,pf-2-idc-2-vdc-1,2024,1270593.7,-0.4584,1264769
pib,pf-2-idc-2-vdc-1,2025,1293464.4,-0.277,1289882
pib,pf-2-idc-2-vdc-1,2026,1315453.3,-0.134,1313691
pib,pf-2-idc-2-vdc-2,2023,1240814.2,-0.2221,1238058
pib,pf-2-idc-2-vdc-2,2024,1270593.7,-0.4268,1265171
pib,pf-2-idc-2-vdc-2,2025,1293464.4,-0.6242,1285391
pib,pf-2-idc-2-vdc-2,2026,1315453.3,-0.9817,1302540
pib,pf-2-idc-3-vdc-1,2023,1240814.2,0.0203,1241066
pib,pf-2-idc-3-vdc-1,2024,1270593.7,0.0377,1271073
pib,pf-2-idc-3-vdc-1,2025,1293464.4,-0.1324,1291752
pib,pf-2-idc-3-vdc-1,2026,1315453.3,-0.2518,1312141
pib,pf-2-idc-3-vdc-2,2023,1240814.2,0.1629,1242835
pib,pf-2-idc-3-vdc-2,2024,1270593.7,0.4020,1275702
pib,pf-2-idc-3-vdc-2,2025,1293464.4,0.4776,1299642
pib,pf-2-idc-3-vdc-2,2026,1315453.3,0.2599,1318872
pib,pf-2-idc-4-vdc-1,2023,1240814.2,-0.246,1237762
pib,pf-2-idc-4-vdc-1,2024,1270593.7,-0.3806,1265758
pib,pf-2-idc-4-vdc-1,2025,1293464.4,-0.5781,1285987
pib,pf-2-idc-4-vdc-1,2026,1315453.3,-0.738,1305745
pib,pf-2-idc-4-vdc-2,2023,1240814.2,-0.1325,1239170
pib,pf-2-idc-4-vdc-2,2024,1270593.7,-0.2155,1267856
pib,pf-2-idc-4-vdc-2,2025,1293464.4,-0.3958,1288345
pib,pf-2-idc-4-vdc-2,2026,1315453.3,-0.6651,1306704
pib,pf-3-idc-1-vdc-1,2023,1240814.2,-0.0631,1240031
pib,pf-3-idc-1-vdc-1,2024,1270593.7,-0.2416,1267524
