filter,year,prevision,simulacionpib,simulacionpercentage
pf-1-idc-1-vdc-1,2019,20298,20337,0.1906
pf-1-idc-1-vdc-1,2020,20684,20666,-0.0858
pf-1-idc-1-vdc-1,2021,21056,21027,-0.1367
pf-1-idc-1-vdc-1,2022,21414,21389,-0.1154
pf-1-idc-1-vdc-2,2019,20298,20368,0.3468
pf-1-idc-1-vdc-2,2020,20684,20745,0.2969
pf-1-idc-1-vdc-2,2021,21056,21102,0.2203
pf-1-idc-1-vdc-2,2022,21414,21406,-0.0372
pf-1-idc-2-vdc-1,2019,20298,20207,-0.4489
pf-1-idc-2-vdc-1,2020,20684,20617,-0.3242
pf-1-idc-2-vdc-1,2021,21056,21063,0.0329
pf-1-idc-2-vdc-1,2022,21414,21437,0.1089
pf-1-idc-2-vdc-2,2019,20298,20268,-0.1475
pf-1-idc-2-vdc-2,2020,20684,20594,-0.434
pf-1-idc-2-vdc-2,2021,21056,20933,-0.5835
pf-1-idc-2-vdc-2,2022,21414,21186,-1.0669
pf-1-idc-3-vdc-1,2019,20298,20385,0.4273
pf-1-idc-3-vdc-1,2020,20684,20746,0.2994
pf-1-idc-3-vdc-1,2021,21056,21018,-0.1785
pf-1-idc-3-vdc-1,2022,21414,21338,-0.3543
pf-1-idc-3-vdc-2,2019,20298,20438,0.6888
pf-1-idc-3-vdc-2,2020,20684,20852,0.812
pf-1-idc-3-vdc-2,2021,21056,21226,0.8094
pf-1-idc-3-vdc-2,2022,21414,21487,0.3391
pf-1-idc-4-vdc-1,2019,20298,20292,-0.03
pf-1-idc-4-vdc-1,2020,20684,20643,-0.2004
pf-1-idc-4-vdc-1,2021,21056,21005,-0.2415
pf-1-idc-4-vdc-1,2022,21414,21367,-0.2196
pf-1-idc-4-vdc-2,2019,20298,20319,0.1018
pf-1-idc-4-vdc-2,2020,20684,20670,-0.07
pf-1-idc-4-vdc-2,2021,21056,21013,-0.2021
pf-1-idc-4-vdc-2,2022,21414,21334,-0.3728
pf-2-idc-1-vdc-1,2019,20298,20261,-0.1814
pf-2-idc-1-vdc-1,2020,20684,20653,-0.1491
pf-2-idc-1-vdc-1,2021,21056,21020,-0.169
pf-2-idc-1-vdc-1,2022,21414,21385,-0.1345
pf-2-idc-1-vdc-2,2019,20298,20292,-0.0289
pf-2-idc-1-vdc-2,2020,20684,20729,0.2194
pf-2-idc-1-vdc-2,2021,21056,21093,0.1742
pf-2-idc-1-vdc-2,2022,21414,21401,-0.0599
pf-2-idc-2-vdc-1,2019,20298,20140,-0.777
pf-2-idc-2-vdc-1,2020,20684,20612,-0.3468
pf-2-idc-2-vdc-1,2021,21056,21061,0.0238
