filter,year,prevision,simulacionpib,simulacionpercentage
pf-1-idc-1-vdc-1,2019,1195302,1197869,0.2147
pf-1-idc-1-vdc-1,2020,1218013,1215547,-0.2025
pf-1-idc-1-vdc-1,2021,1239937,1237630,-0.1861
pf-1-idc-1-vdc-1,2022,1262256,1260165,-0.1657
pf-1-idc-1-vdc-2,2019,1195302,1198436,0.2622
pf-1-idc-1-vdc-2,2020,1218013,1219560,0.127
pf-1-idc-1-vdc-2,2021,1239937,1240488,0.0444
pf-1-idc-1-vdc-2,2022,1262256,1261126,-0.0895
pf-1-idc-2-vdc-1,2019,1195302,1193972,-0.1113
pf-1-idc-2-vdc-1,2020,1218013,1212957,-0.4151
pf-1-idc-2-vdc-1,2021,1239937,1236903,-0.2447
pf-1-idc-2-vdc-1,2022,1262256,1261012,-0.0986
pf-1-idc-2-vdc-2,2019,1195302,1195630,0.0274
pf-1-idc-2-vdc-2,2020,1218013,1213361,-0.3819
pf-1-idc-2-vdc-2,2021,1239937,1232475,-0.6018
pf-1-idc-2-vdc-2,2022,1262256,1249867,-0.9815
pf-1-idc-3-vdc-1,2019,1195302,1198885,0.2997
pf-1-idc-3-vdc-1,2020,1218013,1219665,0.1356
pf-1-idc-3-vdc-1,2021,1239937,1239295,-0.0518
pf-1-idc-3-vdc-1,2022,1262256,1259963,-0.1817
pf-1-idc-3-vdc-2,2019,1195302,1200655,0.4478
pf-1-idc-3-vdc-2,2020,1218013,1224276,0.5142
pf-1-idc-3-vdc-2,2021,1239937,1247200,0.5857
pf-1-idc-3-vdc-2,2022,1262256,1266760,0.3568
pf-1-idc-4-vdc-1,2019,1195302,1195473,0.0143
pf-1-idc-4-vdc-1,2020,1218013,1214100,-0.3213
pf-1-idc-4-vdc-1,2021,1239937,1233232,-0.5408
pf-1-idc-4-vdc-1,2022,1262256,1253240,-0.7143
pf-1-idc-4-vdc-2,2019,1195302,1196847,0.1292
pf-1-idc-4-vdc-2,2020,1218013,1216179,-0.1506
pf-1-idc-4-vdc-2,2021,1239937,1235578,-0.3516
pf-1-idc-4-vdc-2,2022,1262256,1254200,-0.6382
pf-2-idc-1-vdc-1,2019,1195302,1194626,-0.0566
pf-2-idc-1-vdc-1,2020,1218013,1214677,-0.2739
pf-2-idc-1-vdc-1,2021,1239937,1236866,-0.2477
pf-2-idc-1-vdc-1,2022,1262256,1259456,-0.2218
pf-2-idc-1-vdc-2,2019,1195302,1195197,-0.0088
pf-2-idc-1-vdc-2,2020,1218013,1218539,0.0432
pf-2-idc-1-vdc-2,2021,1239937,1239624,-0.0253
pf-2-idc-1-vdc-2,2022,1262256,1260370,-0.1494
pf-2-idc-2-vdc-1,2019,1195302,1191011,-0.359
pf-2-idc-2-vdc-1,2020,1218013,1212430,-0.4584
pf-2-idc-2-vdc-1,2021,1239937,1236503,-0.277
pf-2-idc-2-vdc-1,2022,1262256,1260565,-0.134
pf-2-idc-2-vdc-2,2019,1195302,1192647,-0.2221
pf-2-idc-2-vdc-2,2020,1218013,1212815,-0.4268
pf-2-idc-2-vdc-2,2021,1239937,1232198,-0.6242
pf-2-idc-2-vdc-2,2022,1262256,1249865,-0.9817
pf-2-idc-3-vdc-1,2019,1195302,1195545,0.0203
pf-2-idc-3-vdc-1,2020,1218013,1218472,0.0377
pf-2-idc-3-vdc-1,2021,1239937,1238296,-0.1324
pf-2-idc-3-vdc-1,2022,1262256,1259078,-0.2518
pf-2-idc-3-vdc-2,2019,1195302,1197249,0.1629
pf-2-idc-3-vdc-2,2020,1218013,1222909,0.4020
pf-2-idc-3-vdc-2,2021,1239937,1245859,0.4776
pf-2-idc-3-vdc-2,2022,1262256,1265537,0.2599
pf-2-idc-4-vdc-1,2019,1195302,1192362,-0.246
pf-2-idc-4-vdc-1,2020,1218013,1213377,-0.3806
pf-2-idc-4-vdc-1,2021,1239937,1232769,-0.5781
pf-2-idc-4-vdc-1,2022,1262256,1252941,-0.738
pf-2-idc-4-vdc-2,2019,1195302,1193718,-0.1325
pf-2-idc-4-vdc-2,2020,1218013,1215388,-0.2155
pf-2-idc-4-vdc-2,2021,1239937,1235030,-0.3958
pf-2-idc-4-vdc-2,2022,1262256,1253861,-0.6651
pf-3-idc-1-vdc-1,2019,1195302,1194548,-0.0631
pf-3-idc-1-vdc-1,2020,1218013,1215070,-0.2416
pf-3-idc-1-vdc-1,2021,1239937,1237890,-0.1651
pf-3-idc-1-vdc-1,2022,1262256,1260802,-0.1152
pf-3-idc-1-vdc-2,2019,1195302,1195238,-0.0054
pf-3-idc-1-vdc-2,2020,1218013,1219962,0.1600
pf-3-idc-1-vdc-2,2021,1239937,1241341,0.1132
pf-3-idc-1-vdc-2,2022,1262256,1261874,-0.0303
pf-3-idc-2-vdc-1,2019,1195302,1189974,-0.4458
pf-3-idc-2-vdc-1,2020,1218013,1212251,-0.4731
pf-3-idc-2-vdc-1,2021,1239937,1237385,-0.2058
pf-3-idc-2-vdc-1,2022,1262256,1262165,-0.0072
pf-3-idc-2-vdc-2,2019,1195302,1191988,-0.2773
pf-3-idc-2-vdc-2,2020,1218013,1212772,-0.4303
pf-3-idc-2-vdc-2,2021,1239937,1232017,-0.6388
pf-3-idc-2-vdc-2,2022,1262256,1248665,-1.0767
pf-3-idc-3-vdc-1,2019,1195302,1195666,0.0304
pf-3-idc-3-vdc-1,2020,1218013,1219857,0.1514
pf-3-idc-3-vdc-1,2021,1239937,1239682,-0.0206
pf-3-idc-3-vdc-1,2022,1262256,1260317,-0.1536
pf-3-idc-3-vdc-2,2019,1195302,1197816,0.2103
pf-3-idc-3-vdc-2,2020,1218013,1225465,0.6118
pf-3-idc-3-vdc-2,2021,1239937,1249205,0.7474
pf-3-idc-3-vdc-2,2022,1262256,1268379,0.4851
pf-3-idc-4-vdc-1,2019,1195302,1191691,-0.3021
pf-3-idc-4-vdc-1,2020,1218013,1213413,-0.3777
pf-3-idc-4-vdc-1,2021,1239937,1232608,-0.5911
pf-3-idc-4-vdc-1,2022,1262256,1252412,-0.7799
pf-3-idc-4-vdc-2,2019,1195302,1193362,-0.1623
pf-3-idc-4-vdc-2,2020,1218013,1215958,-0.1687
pf-3-idc-4-vdc-2,2021,1239937,1235492,-0.3585
pf-3-idc-4-vdc-2,2022,1262256,1253611,-0.6849
pf-4-idc-1-vdc-1,2019,1195302,1198067,0.2313
pf-4-idc-1-vdc-1,2020,1218013,1218271,0.0212
pf-4-idc-1-vdc-1,2021,1239937,1242849,0.2348
pf-4-idc-1-vdc-1,2022,1262256,1267376,0.4056
pf-4-idc-1-vdc-2,2019,1195302,1198769,0.29
pf-4-idc-1-vdc-2,2020,1218013,1222993,0.4089
pf-4-idc-1-vdc-2,2021,1239937,1246034,0.4917
pf-4-idc-1-vdc-2,2022,1262256,1268205,0.4713
pf-4-idc-2-vdc-1,2019,1195302,1193946,-0.1135
pf-4-idc-2-vdc-1,2020,1218013,1216400,-0.1324
pf-4-idc-2-vdc-1,2021,1239937,1243353,0.2755
pf-4-idc-2-vdc-1,2022,1262256,1269647,0.5855
pf-4-idc-2-vdc-2,2019,1195302,1195939,0.0533
pf-4-idc-2-vdc-2,2020,1218013,1216683,-0.1092
pf-4-idc-2-vdc-2,2021,1239937,1237834,-0.1696
pf-4-idc-2-vdc-2,2022,1262256,1256563,-0.451
pf-4-idc-3-vdc-1,2019,1195302,1198892,0.3003
pf-4-idc-3-vdc-1,2020,1218013,1222344,0.3556
pf-4-idc-3-vdc-1,2021,1239937,1243664,0.3006
pf-4-idc-3-vdc-1,2022,1262256,1265928,0.2909
pf-4-idc-3-vdc-2,2019,1195302,1198892,0.4819
pf-4-idc-3-vdc-2,2020,1218013,1222344,0.808
pf-4-idc-3-vdc-2,2021,1239937,1243664,1.0519
pf-4-idc-3-vdc-2,2022,1262256,1265928,0.9126
pf-4-idc-4-vdc-1,2019,1195302,1195529,0.019
pf-4-idc-4-vdc-1,2020,1218013,1217201,-0.0667
pf-4-idc-4-vdc-1,2021,1239937,1238438,-0.1209
pf-4-idc-4-vdc-1,2022,1262256,1260175,-0.1649
pf-4-idc-4-vdc-2,2019,1195302,1197154,0.1549
pf-4-idc-4-vdc-2,2020,1218013,1219567,0.1276
pf-4-idc-4-vdc-2,2021,1239937,1241046,0.0894
pf-4-idc-4-vdc-2,2022,1262256,1261147,-0.0879
prevision,2019,1195302,1197869,0
prevision,2020,1218013,1215547,0
prevision,2021,1239937,1237630,0
prevision,2022,1262256,1260165,0
